Name,Country,Age,Height,Weight,Sex,Sport,Event,Medals,Gold,Silver,Bronze
Taylor Worth,Australia,21,174,60,M,Handball,Men's Individual,,,,
Md Emdadul Haque Milon,Bangladesh,19,174,60,M,Handball,Men's Individual,,,,
Yavor Vasilev Hristov,Bulgaria,36,178,88,M,Archery,Men's Individual,,,,
Rene Philippe Kouassi,Côte d'Ivoire,32,190,77,M,Archery,Men's Individual,,,,
Crispin Duenas,Canada,26,170,81,M,Archery,Men's Individual,,,,
Daniel Felipe Pineda,Colombia,18,186,83,M,Archery,Men's Individual,,,,
Juan Carlos Stevens,Cuba,43,,,M,Archery,Men's Individual,,,,
Ahmed El-Nemr,Egypt,33,183,84,M,Archery,Men's Individual,,,,
Robert Elder,Fiji,31,193,115,M,Archery,Men's Individual,,,,
Camilo Mayr,Germany,21,178,74,M,Archery,Men's Individual,,,,
Kar Wai Calvin Lee,"Hong Kong, China",29,172,68,M,Archery,Men's Individual,,,,
Denis Gankin,Kazakhstan,22,183,68,M,Archery,Men's Individual,,,,
Jeff Henckels,Luxembourg,27,184,77,M,Archery,Men's Individual,,,,
Jantsan Gantugs,Mongolia,40,174,75,M,Archery,Men's Individual,,,,
Nay Myo Aung,Myanmar,26,178,71,M,Archery,Men's Individual,,,,
Rick van der Ven,Netherlands,21,181,71,M,Archery,Men's Individual,,,,
Baard Nesteng,Norway,33,,,M,Archery,Men's Individual,,,,
Mark Javier,Philippines,30,173,53,M,Archery,Men's Individual,,,,
Rafal Dobrowolski,Poland,28,180,80,M,Archery,Men's Individual,,,,
Dan Olaru,Republic of Moldova,15,175,70,M,Archery,Men's Individual,,,,
Emanuele Guidi,San Marino,42,175,80,M,Archery,Men's Individual,,,,
Klemen Strajhar,Slovenia,17,190,92,M,Archery,Men's Individual,,,,
Elias Cuesta,Spain,27,177,76,M,Archery,Men's Individual,,,,
Axel Muller,Switzerland,20,176,70,M,Archery,Men's Individual,,,,
Witthaya Thamwong,Thailand,24,180,82,M,Archery,Men's Individual,,,,
Elias Malave,Venezuela,22,179,72,M,Archery,Men's Individual,,,,
Gael Prevost,France,18,193,75,M,Archery,"Men's Individual, Men's Team",,,,
Romain Girouille,France,24,193,75,M,Archery,"Men's Individual, Men's Team",,,,
Thomas Faucheron,France,22,175,72,M,Archery,"Men's Individual, Men's Team",,,,
Alan Wills,Great Britain,31,179,84,M,Archery,"Men's Individual, Men's Team",,,,
Larry Godfrey,Great Britain,36,178,84,M,Archery,"Men's Individual, Men's Team",,,,
Simon Terry,Great Britain,38,180,100,M,Archery,"Men's Individual, Men's Team",,,,
Jayanta Talukdar,India,26,,,M,Archery,"Men's Individual, Men's Team",,,,
Rahul Banerjee,India,25,,,M,Archery,"Men's Individual, Men's Team",,,,
Marco Galiazzo,Italy,29,178,98,M,Archery,"Men's Individual, Men's Team",YES,0.33,,
Mauro Nespoli,Italy,24,181,85,M,Archery,"Men's Individual, Men's Team",YES,0.33,,
Michele Frangilli,Italy,36,181,110,M,Archery,"Men's Individual, Men's Team",YES,0.33,,
Hideki Kikuchi,Japan,26,182,80,M,Archery,"Men's Individual, Men's Team",,,,
Takaharu Furukawa,Japan,27,174,81,M,Archery,"Men's Individual, Men's Team",YES,,1,
Yu Ishizu,Japan,25,170,66,M,Archery,"Men's Individual, Men's Team",,,,
Chu Sian Cheng,Malaysia,26,182,94,M,Archery,"Men's Individual, Men's Team",,,,
Haziq Kamaruddin,Malaysia,19,178,85,M,Archery,"Men's Individual, Men's Team",,,,
Khairul Anuar Mohamad,Malaysia,20,171,70,M,Archery,"Men's Individual, Men's Team",,,,
Juan Rene Serrano,Mexico,28,178,87,M,Archery,"Men's Individual, Men's Team",,,,
Luis Alvarez,Mexico,21,174,90,M,Archery,"Men's Individual, Men's Team",,,,
